,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,10,FP1,0,5.28,a,S1 obj,0,co2a0000364,0.0
6,10,FP1,1,4.791,a,S1 obj,0,co2a0000364,0.00390625
7,10,FP1,2,4.303,a,S1 obj,0,co2a0000364,0.0078125
8,10,FP1,3,4.791,a,S1 obj,0,co2a0000364,0.01171875
9,10,FP1,4,5.28,a,S1 obj,0,co2a0000364,0.015625
10,10,FP1,5,6.744,a,S1 obj,0,co2a0000364,0.01953125
11,10,FP1,6,7.721,a,S1 obj,0,co2a0000364,0.0234375
12,10,FP1,7,8.698,a,S1 obj,0,co2a0000364,0.02734375
13,10,FP1,8,8.698,a,S1 obj,0,co2a0000364,0.03125
14,10,FP1,9,8.698,a,S1 obj,0,co2a0000364,0.03515625
15,10,FP1,10,8.209,a,S1 obj,0,co2a0000364,0.0390625
16,10,FP1,11,7.721,a,S1 obj,0,co2a0000364,0.04296875
17,10,FP1,12,6.744,a,S1 obj,0,co2a0000364,0.046875
18,10,FP1,13,5.768,a,S1 obj,0,co2a0000364,0.05078125
19,10,FP1,14,4.791,a,S1 obj,0,co2a0000364,0.0546875
20,10,FP1,15,3.815,a,S1 obj,0,co2a0000364,0.05859375
21,10,FP1,16,3.815,a,S1 obj,0,co2a0000364,0.0625
22,10,FP1,17,4.303,a,S1 obj,0,co2a0000364,0.06640625
23,10,FP1,18,5.28,a,S1 obj,0,co2a0000364,0.0703125
24,10,FP1,19,4.791,a,S1 obj,0,co2a0000364,0.07421875
25,10,FP1,20,3.815,a,S1 obj,0,co2a0000364,0.078125
26,10,FP1,21,3.326,a,S1 obj,0,co2a0000364,0.08203125
27,10,FP1,22,5.28,a,S1 obj,0,co2a0000364,0.0859375
28,10,FP1,23,8.209,a,S1 obj,0,co2a0000364,0.08984375
29,10,FP1,24,11.627,a,S1 obj,0,co2a0000364,0.09375
30,10,FP1,25,12.115,a,S1 obj,0,co2a0000364,0.09765625
31,10,FP1,26,9.674,a,S1 obj,0,co2a0000364,0.1015625
32,10,FP1,27,5.28,a,S1 obj,0,co2a0000364,0.10546875
33,10,FP1,28,0.885,a,S1 obj,0,co2a0000364,0.109375
34,10,FP1,29,-2.045,a,S1 obj,0,co2a0000364,0.11328125
35,10,FP1,30,-2.045,a,S1 obj,0,co2a0000364,0.1171875
36,10,FP1,31,-1.556,a,S1 obj,0,co2a0000364,0.12109375
37,10,FP1,32,-0.092,a,S1 obj,0,co2a0000364,0.125
38,10,FP1,33,1.373,a,S1 obj,0,co2a0000364,0.12890625
39,10,FP1,34,2.838,a,S1 obj,0,co2a0000364,0.1328125
40,10,FP1,35,4.791,a,S1 obj,0,co2a0000364,0.13671875
41,10,FP1,36,6.256,a,S1 obj,0,co2a0000364,0.140625
42,10,FP1,37,6.744,a,S1 obj,0,co2a0000364,0.14453125
43,10,FP1,38,5.768,a,S1 obj,0,co2a0000364,0.1484375
44,10,FP1,39,3.815,a,S1 obj,0,co2a0000364,0.15234375
45,10,FP1,40,1.862,a,S1 obj,0,co2a0000364,0.15625
46,10,FP1,41,0.885,a,S1 obj,0,co2a0000364,0.16015625
47,10,FP1,42,1.373,a,S1 obj,0,co2a0000364,0.1640625
48,10,FP1,43,3.326,a,S1 obj,0,co2a0000364,0.16796875
49,10,FP1,44,4.303,a,S1 obj,0,co2a0000364,0.171875
50,10,FP1,45,3.815,a,S1 obj,0,co2a0000364,0.17578125
51,10,FP1,46,1.862,a,S1 obj,0,co2a0000364,0.1796875
52,10,FP1,47,-0.092,a,S1 obj,0,co2a0000364,0.18359375
53,10,FP1,48,-0.58,a,S1 obj,0,co2a0000364,0.1875
54,10,FP1,49,1.373,a,S1 obj,0,co2a0000364,0.19140625
55,10,FP1,50,3.815,a,S1 obj,0,co2a0000364,0.1953125
56,10,FP1,51,4.303,a,S1 obj,0,co2a0000364,0.19921875
57,10,FP1,52,3.815,a,S1 obj,0,co2a0000364,0.203125
58,10,FP1,53,2.838,a,S1 obj,0,co2a0000364,0.20703125
59,10,FP1,54,2.35,a,S1 obj,0,co2a0000364,0.2109375
60,10,FP1,55,3.326,a,S1 obj,0,co2a0000364,0.21484375
61,10,FP1,56,4.303,a,S1 obj,0,co2a0000364,0.21875
62,10,FP1,57,4.791,a,S1 obj,0,co2a0000364,0.22265625
63,10,FP1,58,4.303,a,S1 obj,0,co2a0000364,0.2265625
64,10,FP1,59,2.838,a,S1 obj,0,co2a0000364,0.23046875
65,10,FP1,60,1.862,a,S1 obj,0,co2a0000364,0.234375
66,10,FP1,61,1.862,a,S1 obj,0,co2a0000364,0.23828125
67,10,FP1,62,3.326,a,S1 obj,0,co2a0000364,0.2421875
68,10,FP1,63,5.28,a,S1 obj,0,co2a0000364,0.24609375
69,10,FP1,64,6.744,a,S1 obj,0,co2a0000364,0.25
70,10,FP1,65,6.256,a,S1 obj,0,co2a0000364,0.25390625
71,10,FP1,66,3.815,a,S1 obj,0,co2a0000364,0.2578125
72,10,FP1,67,0.397,a,S1 obj,0,co2a0000364,0.26171875
73,10,FP1,68,-2.045,a,S1 obj,0,co2a0000364,0.265625
74,10,FP1,69,-1.556,a,S1 obj,0,co2a0000364,0.26953125
75,10,FP1,70,1.862,a,S1 obj,0,co2a0000364,0.2734375
76,10,FP1,71,6.744,a,S1 obj,0,co2a0000364,0.27734375
